
10000;10



1261;1260;0;72;70;0;2;10;0;
1277;1270;0;72;70;0;2;0;0;
1342;1340;0;76;70;0;3;0;0;
1389;1390;0;76;80;0;2;0;0;
1283;1280;0;74;70;0;3;10;0;
1301;1300;10;72;70;0;3;0;10;
1283;1280;0;86;80;10;3;0;0;
1315;1310;0;73;70;0;3;0;0;
1261;1260;0;72;70;0;2;0;0;
1309;1310;0;77;80;0;3;10;0;

10000;25



3515;3500;10;79;70;0;4;10;0;
3439;3430;0;78;80;0;3;0;0;
3559;3540;0;81;80;0;3;0;0;
3492;3490;0;76;80;0;4;0;0;
3540;3540;0;77;80;0;3;0;10;
3393;3390;0;73;70;10;3;0;0;
3308;3300;10;73;70;0;3;0;0;
3346;3330;0;78;70;0;3;0;0;
3584;3580;0;76;80;0;3;10;0;
3601;3590;10;80;80;0;3;0;0;

10000;50



7718;7710;0;91;100;0;4;0;0;
7626;7620;0;77;70;0;5;0;0;
7810;7800;0;80;80;0;4;0;0;
7976;7960;0;76;70;0;4;10;0;
7526;7510;0;72;80;0;4;0;0;
7578;7560;10;83;90;0;4;0;0;
7784;7770;0;73;80;0;4;0;0;
7675;7660;0;76;70;0;4;0;0;
7504;7490;0;73;70;0;4;0;10;
7577;7560;10;77;80;0;4;10;0;

25000;10



8300;8290;0;484;480;0;6;0;0;
8885;8870;0;478;480;0;6;0;0;
8922;8910;0;481;480;0;7;10;0;
8820;8810;0;474;480;0;8;0;0;
8977;8960;0;503;500;0;7;0;0;
8357;8350;0;462;460;0;7;10;0;
8689;8670;0;485;480;0;8;0;0;
8620;8600;10;464;470;0;6;0;0;
8618;8610;0;443;440;0;6;0;0;
8491;8480;0;445;450;0;6;0;0;

25000;25



21210;21170;10;450;450;10;7;10;0;
22036;22000;10;446;450;0;8;10;0;
20664;20620;10;456;450;0;7;0;10;
20932;20900;0;451;450;10;8;10;0;
21383;21350;10;449;450;0;8;10;0;
21205;21170;10;464;460;0;7;0;0;
20597;20560;10;447;440;10;8;10;0;
21779;21740;10;467;460;0;8;10;0;
22025;21970;10;490;490;0;8;10;10;
